name,latitude,longitude,coordinate_quality,category,city,session_types,confidence,notes
Pioneer Park (keelboat replica),46.82705,-100.83023,exact,scouted,Bismarck (riverfront),"Family, senior (potential)",Unverified,Full-size Lewis & Clark keelboat replica relocated here 2025; riverfront trail. Scouted from park maps.
"Sertoma Park north end (Bill Mills Nature Trail, sand bars)",46.80218,-100.80642,approximate,scouted,Bismarck,"Family, engagement (potential)",Unverified,0.8-mi nature trail with Missouri River views; natural sand bars ('river beach' in town); eagle sculptures. Point is park address. Portrait permit status unknown. Scouted from BPRD pages.
General Sibley Park,46.74715,-100.79419,exact,scouted,Bismarck (south),"Family, engagement, senior (potential)",Unverified,"155 wooded acres, boat dock, 0.6-mi interpretive trail. Canopy recovering (2026 replant). Scouted from park maps. Shot-archetype 4 (woodland path): wooded interpretive trail."
Downtown Bismarck Historic District,46.80543,-100.78616,approximate,scouted,Bismarck,"Senior, engagement (potential)",Unverified,"1901 NP depot, Soo Hotel, Patterson Hotel, Art Deco courthouse. Public streets/sidewalks, exteriors only. Point is Main Ave & 4th St. Scouted from historic-district pages."
Mandan Main Street historic architecture,46.82548,-100.89385,approximate,scouted,Mandan,"Senior, engagement (potential)",Unverified,"1928 NP Depot & Beanery, National Register Lewis & Clark Hotel. Public sidewalks; point is 401 W Main St area. Scouted from historic-district pages."
Little Heart (Schmidt Bottoms),46.67480,-100.78510,approximate,scouted,South of Mandan (Hwy 1806),"Family, couples (potential)",Unverified,"73-acre floodplain, cottonwood/willow/green ash stands, river frontage, boat ramp. Camping/day-use fees unknown; rifle range nearby. Scouted from county park pages."
McDowell Dam Recreation Area,46.82634,-100.64055,exact,scouted,East of Bismarck,"Family, senior (potential)",Unverified,"Sandy beach, 56-acre lake, 2.8-mi loop, wildflowers, fall color. Scouted from park pages. Shot-archetypes 1 and 5 (tall grass, wildflower meadow): rolling upland prairie around the 2.8-mi loop; wildflowers reported by trailgoers (AllTrails)."
Atkinson Nature Park,46.79042,-100.77253,approximate,scouted,Bismarck (south),"Family, engagement (potential)",Unverified,138-acre true woodland; one of the few dappled-light forest settings in the metro. Scouted from BPRD plans.
Rotary Arboretum,46.82268,-100.80587,exact,scouted,Bismarck (north),"Family, senior (potential)",Unverified,"20+ labeled tree/shrub species, boardwalk, prairie shelter (1329 Ward Rd). Scouted from park pages. Shot-archetype 5 (flower meadow): labeled garden beds with seasonal flowers."
Hay Creek Trail corridor,46.82809,-100.74715,approximate,scouted,Bismarck (NE),"Family, senior (potential)",Unverified,"5-mi riparian creek trail, bridges, meadow views. Point is a bridge photo point. Scouted from trail maps. Shot-archetypes 1 and 4 (tall grass, woodland path): meadow stretches and riparian woodland."
Legion Park,46.81600,-100.90486,exact,scouted,Mandan,Family (potential),Unverified,"Beside the Heart River with easy river access, mature trees. Sleeper in-town river spot. Scouted from city park pages."
Steamboat Park,46.81669,-100.82294,exact,scouted,Bismarck,Family (potential),Unverified,"60-ft historic steamboat 'Yellowstone' on the riverbank + eagle sculpture. Small (4 acres): trail stop, not a full session spot. Scouted from park pages."
Custer Park,46.80686,-100.79452,exact,scouted,Bismarck,Family minis (potential),Unverified,"2.4 acres, pergola, walkways, eagle sculpture. Quick mini-session at most. Note: Bismarck, not Mandan. Scouted from park pages."
Hoge Island boat-ramp shoreline,46.84000,-100.81000,approximate,scouted,Bismarck (north),Family (potential),Unverified,87-acre river shoreline near Hoge Ave; check shoreline quality (riprap history). Ground check first. Scouted from park inventory.
Huff Indian Village SHS,46.61442,-100.64000,approximate,scouted,South of Mandan (Hwy 1806),"Engagement, couples (potential)",Unverified,"Best bluff-country public access: river overlook, free, year-round. Scouted from SHS pages. Shot-archetype 3 (golden hills): bluff-country river overlook at sunset."
Graner Park,46.65440,-100.71206,exact,scouted,South of Mandan (Hwy 1806),"Family, engagement (potential)",Unverified,"Missouri River access, shelters; easy logistics. Scouted from county park pages."
Crown Butte Dam,46.86894,-101.09087,exact,scouted,West of Mandan,"Family, couples (potential)",Unverified,"Quiet primitive prairie lake, big sky. Day-use fees unknown. Scouted from park pages."
USDA Research Center grounds / arboretum,46.81199,-100.88478,approximate,scouted,Mandan,"Family, senior (potential)",Unverified,Same grounds as the verified USDA entry; includes an arboretum open to visitors who check in. Photo-permit status unknown. Scouted from USDA info.
Bismarck Riverfront 308-acre undeveloped property,46.83600,-100.83000,approximate,scouted,Bismarck (north of Pioneer Park),"Family, engagement (potential)",Unverified,Undeveloped natural riverfront; boundary unverified. Verify public access route before any session. Scouted from BPRD inventory.
Railroad bridge vantage (BSC overlook),46.82138,-100.81705,approximate,scouted,Bismarck,Senior (potential),Unverified,Documented public vantage for the industrial-historic Missouri River shot behind Bismarck State College. Point is the campus. Scouted from river-corridor research.
Peace Park,46.80458,-100.78577,exact,scouted,Bismarck,Family (potential),Unverified,"Small garden, fountain, statues (400 E Front Ave). Visitor reviews flag loitering/safety; scout daytime only. Scouted from reviews."
Sleepy Hollow Exchange Club Park (amphitheater/coulee),46.82332,-100.75054,approximate,scouted,Bismarck,Senior (potential),Unverified,Theater structure as backdrop; public info thin. Within the Sleepy Hollow system. Scouted from BPRD pages.
Missouri River Natural Area - far loop reaches,46.83587,-100.86393,approximate,secluded,Mandan,"Engagement, senior, couples (potential)",Unverified,"Interior of a 5.5-mi loop, 1-2 mi from the lot; trail reviewers say you rarely meet people. Seclusion: High. Point is the trailhead. Scouted from trail maps."
Atkinson Nature Park,46.79042,-100.77253,approximate,secluded,Bismarck (south),"Family, engagement (potential)",Unverified,138-acre undeveloped woodland; the only true forest setting in the metro. Seclusion: High. Scouted from BPRD plans. Shot-archetype 4 (dense woodland path): true forest interior with leaf litter in fall.
Little Heart (Schmidt Bottoms) interior,46.67480,-100.78510,approximate,secluded,South of Mandan,"Family, couples (potential)",Unverified,Interior cottonwood/willow stands far from the boat ramp. Day-use fees unknown; rifle range nearby - scout noise. Seclusion: High. Scouted from county park pages.
Bill Mills Nature Trail quiet stretches,46.80218,-100.80642,approximate,secluded,Bismarck,"Engagement, family (potential)",Unverified,0.8-mi nature trail at Sertoma's north end; farthest bends screen the main park. Point is the park address. Seclusion: Medium. Scouted from BPRD pages.
Hay Creek Trail - far NE reaches,46.82809,-100.74715,approximate,secluded,Bismarck (NE),"Family, senior (potential)",Unverified,Far loop stretches through riparian corridor away from the golf course. Seclusion: Medium-High. Scouted from trail maps.
East Sibley Nature Park / Sibley interior,46.74715,-100.79419,approximate,secluded,Bismarck (south),"Family, engagement (potential)",Unverified,Wooded day-use areas away from the RV campground. Seclusion: High. Scouted from BPRD plans.
Clairmont Family Conservation Park,46.85174,-100.82980,approximate,secluded,Bismarck,"Engagement, couples (potential)",Unverified,"117-acre natural property: prairie + wooded draws; boundary unverified, no facilities. Seclusion: High. Scouted from BPRD plans. Shot-archetypes 1 and 5 (tall prairie grass, wildflower meadow): prairie acres with seasonal wildflowers and native grass stands."
Harmon Lake - far shoreline,46.95130,-100.92910,approximate,secluded,"Morton County, west of Mandan","Engagement, couples (potential)",Unverified,Far shoreline and west coves away from the day-use area. Verify day-use fees. Seclusion: Medium-High. Scouted from county park pages. Shot-archetype 3 (golden grass + rolling hills): far shoreline and west-cove hills read as golden hill country at sunset.
Riverfront 308-acre undeveloped property,46.83600,-100.83000,approximate,secluded,Bismarck (north of Pioneer Park),"Engagement, couples (potential)",Unverified,Wildest public riverfront in the city system; boundary unverified. Verify access route. Seclusion: High. Scouted from BPRD inventory.
Sweet Briar Lake - back shore / evergreen rows,46.82413,-101.15495,approximate,secluded,West of Mandan,"Family, engagement (potential)",Unverified,"Evergreen rows, prairie, lake views; low visitation off-peak. I-94 noise on the north side. Seclusion: Medium. Scouted from county park pages."
Graner Bottoms WMA,46.65440,-100.71206,approximate,secluded,Morton County (south of Mandan),"Family, couples (potential)",Unverified,"3,645-acre Missouri River bottom. PUBLIC land managed for hunting: wear blaze orange Sep-Dec; avoid deer gun season (Nov 6-22). Use the GF hunting atlas for boundaries. ND Game & Fish."
Oahe-Burleigh County WMA,46.68000,-100.80000,approximate,secluded,Burleigh County (~8 mi south of metro),"Family, engagement (potential)",Unverified,"7,158-acre Missouri River/Oahe shoreline. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish."
Oahe-Morton County WMA,46.67000,-100.78000,approximate,secluded,Morton County (~10 mi south of Mandan),"Family, engagement (potential)",Unverified,"5,537-acre Missouri River/Oahe shoreline. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish."
Apple Creek Bottoms WMA,46.75000,-100.70000,approximate,secluded,Burleigh County,Family (potential),Unverified,"1,081-acre creek-bottom habitat. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish."
Morton County WMA,46.67000,-100.88000,approximate,secluded,Morton County (~11 mi south of Mandan),"Family, couples (potential)",Unverified,640-acre prairie/wooded habitat. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish. Shot-archetype 1 (tall prairie grass): prairie portions hold unmowed native grass.
Robert W. Henderson WMA,46.80000,-100.66000,approximate,secluded,Burleigh County (6 mi east of Bismarck on Hwy 10),"Family, engagement (potential)",Unverified,566 acres; closest WMA to Bismarck. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish.
Crown Butte Dam WMA,46.86894,-101.09087,approximate,secluded,Morton County (west of Mandan),"Family, couples (potential)",Unverified,"88-acre prairie around Crown Butte; butte views, big sky. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish. Shot-archetypes 1 and 3 (tall prairie grass, golden hills): native prairie with the butte as a golden-hour backdrop."
Fish Creek Dam WMA,46.82000,-101.02000,approximate,secluded,Morton County (west of Mandan),Family (potential),Unverified,"186-acre dam and creek habitat (I-94 Judson exit 134, then 8 mi south, 2 mi east, 1 mi south). Hunting warnings apply; atlas for boundaries. ND Game & Fish."
Square Butte WMA,47.02000,-100.95000,approximate,secluded,Oliver County (13.5 mi north of Mandan on ND1806),"Family, couples (potential)",Unverified,38-acre tract near the Square Butte landmark. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish.
Smith Grove WMA,47.14000,-100.97000,approximate,secluded,Oliver County (22 mi north of Mandan on ND1806),"Family, engagement (potential)",Unverified,233-acre cottonwood grove. Hunting warnings apply; use the GF hunting atlas for exact boundaries. ND Game & Fish.
Former Governors' Mansion grounds (off-hours),46.81087,-100.78644,approximate,secluded,Bismarck,"Engagement, senior (potential)",Unverified,1893 mansion + 60-species heritage gardens (320 E Ave B); early mornings/weekdays are quietest. Confirm outdoor photo policy with SHS. Scouted from SHS pages.
Capitol grounds - Arboretum Trail / west prairie trail,46.82015,-100.78119,approximate,secluded,Bismarck,"Engagement, senior (potential)",Unverified,Quiet corners of the Capitol grounds beyond the formal mall. Seclusion: Medium. Scouted from Capitol grounds info. Shot-archetype 1 (tall prairie grass at golden hour): west prairie trail holds unmowed native-grass stretches.
Game & Fish Conservation & Outdoor Skills Area,46.80635,-100.73255,approximate,secluded,Bismarck,"Family, engagement (potential)",Unverified,60 acres with fishing pond and interpretive trails (100 N Bismarck Expy); working GF facility - verify public hours and photography rules. Scouted from GF pages.
Tyler Coulee / Valley Drive Greenway,46.84854,-100.80788,approximate,secluded,Bismarck,"Family, senior (potential)",Unverified,Coulee lands 'left natural': pocket seclusion inside residential areas. Seclusion: Medium; tick habitat. Point is Valley Drive. Scouted from BPRD plans.
Bismarck railroad bridge / rail trestle area (tracks and trestles),46.80450,-100.82700,approximate,verified,Bismarck/Mandan,Senior,Probable,"Rusted steel trestles, railroad tracks, and the historic truss bridge over the Missouri used as senior backdrops in ~17 of Ken Yetter's 48 galleries. Stay off active tracks; use public vantage points. Visual ID, Sep 2026."
Buckstop Junction pioneer village grounds,46.80129,-100.72383,exact,verified,Bismarck,Senior,Probable,"Public historic village (3805 E Bismarck Expy): red wooden buildings with teal doors, vintage gas station with 'PIONEER' sign, red railcar - ~9 of Ken Yetter's 48 senior galleries. Coordinates are for the village site; exact shoot spots within the grounds need a site visit. Visual ID, Sep 2026."
"University of Mary campus (Gift Hill Cross, river overlook, chapel exterior)",46.72200,-100.75300,approximate,scouted,"Bismarck (south, overlooking the Missouri River)","Senior, family (potential)",Unverified,"340-acre Catholic university campus above the Missouri River. Gift Hill Cross and ""the Shire"" give an elevated river view, and Our Lady of the Annunciation Chapel has photogenic exterior architecture. Public grounds, but confirm photography policy with the university before a paid session, especially near the chapel. Scouted from the campus gallery page and Wikipedia."
Salem Sue (World's Largest Holstein Cow),46.844999,-101.411255,exact,scouted,New Salem (31 mi west of Bismarck),"Family, senior (potential)",Unverified,"38-foot fiberglass cow on School Hill above I-94 exit 127. Free, hilltop prairie view for miles in every direction, well known roadside stop. A longer drive than most spots on this list, but a fun novelty backdrop for a family or senior session with a sense of humor. Scouted from Atlas Obscura and ND Tourism."
"Liberty Memorial Building (ND State Library, Capitol grounds)",46.82015,-100.78119,approximate,verified,Bismarck,"Senior, wedding",Confirmed,"Classical limestone building with tall columns and heavy bronze doors, on the Capitol grounds next to the Heritage Center at 604 E Boulevard Ave. The State Library's own history page states the front steps and doors have been ""a popular backdrop for photographs, particularly for high school seniors and weddings"" for decades. A distinct spot from the Capitol tower itself, same general grounds. State Library official history page."
South 40 Events (converted dairy barn),46.75500,-100.73500,approximate,verified,"Lincoln (5 mi south of Bismarck, on Apple Creek)","Engagement, wedding (potential)",Confirmed (venue only),"Fifteen-acre venue on the banks of Apple Creek, an old dairy farm barn converted into a two-level event space with reclaimed wood, plus a separate pavilion. A Bismarck wedding photographer names it a favorite venue on her own site. Rental venue, book through South 40 Events for access. Coordinates estimated from the Yegen Place address; verify the exact pin before a shoot. Photographer blog (twelve9photo)."
Black Leg Ranch (Copper Jewell Barn),46.80000,-100.35000,approximate,scouted,McKenzie (25 mi southeast of Bismarck),"Wedding, engagement (potential)",Unverified,"Fifth-generation, 140-year-old working cattle ranch with wagon trails, old homestead foundations, and rolling ranchland near the Missouri River. Copper Jewell Barn is the event space. Farther out than most spots on this list; confirm access and any session fee with the ranch first. Scouted from ND Tourism and the ranch's social pages."
The Poppy Creative (rental studio spaces),46.82548,-100.89385,approximate,scouted,Mandan,"Senior, family minis (potential)",Unverified,"Three rentable studio rooms at 410 W Main St, white brick accent walls, dark wood floors, north-facing windows for soft natural light. A useful indoor backup for winter senior or mini sessions. Hourly rental, book through the studio. Scouted from the venue's own site."
Cross Ranch State Park,47.20722,-101.00472,approximate,scouted,Washburn area (about 40 mi north of Bismarck),"Family, engagement (potential)",Unverified,"One of the last stretches of free-flowing, undeveloped Missouri River in the state, with river-bottom forest, prairie, and roaming bison in the adjoining nature preserve. Farther than most spots on this list, best treated as a destination session rather than a quick trip. Day-use fee likely applies. Scouted from Wikipedia and ND Parks and Recreation."
Fort Abraham Lincoln State Park interior park roads,46.76600,-100.84700,approximate,scouted,South of Mandan,"Senior, engagement (potential)",Unverified,"Shot-archetype 2 (quiet curving tree-lined road): paved interior park roads curve through hills and trees, low traffic at dusk. Bring a spotter; shoot at dusk, clear the road quickly. Coordinates are for the park interior; exact stretch needs a site visit. Scouted from park maps."
General Sibley Park main road,46.74800,-100.79500,approximate,scouted,Bismarck (south),"Senior, engagement (potential)",Unverified,Shot-archetype 2 (quiet curving tree-lined road): main park road winds through 155 wooded acres; very low traffic on weekday evenings. Bring a spotter; shoot at dusk. Exact stretch needs a site visit. Scouted from park maps.
Little Heart (Schmidt Bottoms) park road,46.67550,-100.78600,approximate,secluded,South of Mandan (Hwy 1806),"Senior, engagement (potential)",Unverified,"Shot-archetype 2 (quiet curving tree-lined road): paved access road runs through cottonwood/willow floodplain with almost no traffic, especially off-peak. Bring a spotter; shoot at dusk. Exact stretch needs a site visit. Seclusion: High. Scouted from county park pages."
ND Highway 1804 river corridor (near Double Ditch),46.93427,-100.89587,approximate,scouted,North of Bismarck,"Senior, engagement (potential)",Unverified,"Shot-archetype 2 (quiet curving tree-lined road): paved two-lane state highway (Highway 1804 N) winding along the Missouri River bluffs north of Bismarck, very low traffic at dusk. Bring a spotter; shoot at dusk, clear the road quickly. Coordinates geocoded near Double Ditch Indian Village; exact stretch needs a site visit."
Harmon Lake entrance road,46.95130,-100.92910,approximate,scouted,"Morton County, west of Mandan","Senior, engagement (potential)",Unverified,Shot-archetype 2 (quiet curving tree-lined road): entrance road into Harmon Lake Recreation Area; very low traffic off-peak. Bring a spotter; shoot at dusk. Point is the park entrance area; exact stretch and road surface need a site visit.
Fort Abraham Lincoln State Park - Fort McKeen blockhouses (bluff-top),46.77300,-100.84900,approximate,scouted,South of Mandan,"Senior, engagement (potential)",Unverified,Shot-archetype 3 (golden grass + rolling hills): Fort McKeen blockhouses sit on a bluff-top with panoramic Missouri River valley sunset views. Fees apply; confirm commercial photo permit. Exact pin needs a site visit. Scouted from park pages.
Missouri River Natural Area interior woodland trails,46.83800,-100.86200,approximate,secluded,Mandan,"Family, engagement, senior (potential)",Unverified,"Shot-archetype 4 (dense woodland path): interior cottonwood riverbottom woodland with dense canopy and leaf litter in fall, 1-2 mi from the trailhead. Seclusion: High. Point is the trail interior; exact stretch needs a site visit. Scouted from trail maps."
Fort Rice State Historic Site,46.52885,-100.58851,approximate,scouted,"South of Mandan (Hwy 1806, ~30 mi)","Family, senior (potential)",Unverified,"Open big-sky prairie around the 1864 frontier fort site: stone marker shelter, WPA corner markers, interpretive signs. Free, open year-round, no staff. Missouri River views nearby. Scouted from SHS, Wikipedia, and lewisandclark.travel; no photographer sessions found yet."
Menoken Indian Village SHS,46.83891,-100.51994,approximate,scouted,East of Bismarck (Menoken),"Family, senior (potential)",Unverified,"800-year-old village site on an open Apple Creek terrace (171st St NE, ~10 mi east of Bismarck): earthwork ditch, interpretive signs, 1930s stone shelter. Free, open year-round, no staff. Terrace top is open prairie; creek bottom is wooded. Confirm commercial photo policy with SHS. Scouted from SHS and ND Tourism pages."
Lions Hillside Park (disc golf hills),46.81638,-100.76076,approximate,scouted,Bismarck,"Senior, family (potential)",Unverified,Hilly open park with a disc golf course off E Boulevard Ave; big-sky hilltop views inside the city. Point is the E Boulevard Ave side of the park; scout the hilltops for the best angles. Scouted from park pages and disc-golf reviews; no photographer sessions found yet.
